start	end	model_name	model_accession	E_value	score	description of target	genbank_accession
30852	32049	ICE6013_orf11.txt	-	4.1e-09	30.5	-	GCF_900474925.1.gbff.1.gbk_GCF
45430	46555	ICE6013_orf11.txt	-	7.1e-08	26.4	-	GCF_900474925.1.gbff.1.gbk_GCF
53900	54899	ICEF_III_orf15.txt	-	2.2e-06	22	-	GCF_900474925.1.gbff.1.gbk_GCF
87717	88437	Pfam-B_3022	PB003022	7.5e-06	16.8	-	GCF_900474925.1.gbff.1.gbk_GCF
101550	102489	T2SSE	PF00437.16	4.8e-43	139.3	Type	GCF_900474925.1.gbff.1.gbk_GCF
111794	112190	ICEF_I_II_orf13.txt	-	4.3e-08	28.1	-	GCF_900474925.1.gbff.1.gbk_GCF
173587	174784	Pfam-B_3022	PB003022	5.6e-07	20.5	-	GCF_900474925.1.gbff.1.gbk_GCF
236892	237633	AAA_10	PF12846.2	5.4e-06	18.2	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
257223	258294	AAA_10	PF12846.2	4.3e-06	18.5	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
320584	320917	TraF	PF13728.2	9.7e-06	17.6	F	GCF_900474925.1.gbff.1.gbk_GCF
323731	324223	ICEF_I_II_orf13.txt	-	2.3e-12	42	-	GCF_900474925.1.gbff.1.gbk_GCF
326694	329523	AAA_10	PF12846.2	6.3e-07	21.3	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
347057	348569	ICESt1_orf31.txt	-	7.2e-128	421.5	-	GCF_900474925.1.gbff.1.gbk_GCF
464557	465301	AAA_10	PF12846.2	1e-05	17.3	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
595239	597522	AAA_10	PF12846.2	6.9e-07	21.1	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
598862	599597	AAA_10	PF12846.2	2.8e-07	22.4	AAA-like	GCF_900474925.1.gbff.1.gbk_GCF
691765	693550	SPAP_0869.txt	-	0	1186.2	-	GCF_900474925.1.gbff.1.gbk_GCF
693713	694025	SPAP_0891.txt	-	2.9e-12	41.4	-	GCF_900474925.1.gbff.1.gbk_GCF
694263	695130	Tn5253_orf15.protein.7	-	1.3e-10	35.6	-	GCF_900474925.1.gbff.1.gbk_GCF
695717	698144	SPAP_0880.txt	-	0	1537.3	-	GCF_900474925.1.gbff.1.gbk_GCF
698147	700265	SPAP_0881.txt	-	2.5e-132	437.4	-	GCF_900474925.1.gbff.1.gbk_GCF
700277	700517	SPAP_0882.txt	-	2.3e-07	25.6	-	GCF_900474925.1.gbff.1.gbk_GCF
700491	701958	SPAP_0884.txt	-	2.3e-43	142.8	-	GCF_900474925.1.gbff.1.gbk_GCF
702139	703579	SPAP_0887.txt	-	1.3e-195	645.6	-	NZ_LS483334.1_702139
705278	710402	SPAP_0889.txt	-	0	1357.3	-	NZ_LS483334.1_705278
710439	712167	SPAP_0889.txt	-	0	1070.4	-	NZ_LS483334.1_710439
714757	715369	SPAP_0889.txt	-	1.5e-110	365.1	-	NZ_LS483334.1_714757
